ORIGINAL_INDEX,CONTENT,LABEL,SUBJECT
0,"Re: HADOOP-18198. Release Hadoop 3.3.3: hadoop-3.3.2 with CVE fixes I should add that the CVEs in question are minor, unless you are running Hadoop on windows. given you have to compile the native binaries yourself for that, that is not something we know anyone actually does in production. The reload4j fix means that we can get out of the classpath the log4j vulnerabilities which were never reached in the Hadoop code, but which audit tools would flag up. I'd also like to update our shaded protobuf library too ",executive,Re: HADOOP-18198. Release Hadoop 3.3.3: hadoop-3.3.2 with CVE fixes
1,"HADOOP-18198. Release Hadoop 3.3.3: hadoop-3.3.2 with CVE fixes I've just created a new JIRA and assigned to myself: HADOOP-18198. Release Hadoop 3.3.3: hadoop-3.3.2 with CVE fixes https://issues.apache.org/jira/browse/HADOOP-18198 ------------------ Hadoop 3.3.3 is a minor followup release to Hadoop 3.3.2 with * CVE fixes in Hadoop source * CVE fixes in dependencies * replacement of log4j 1.2.17 to reload4j * some changes which shipped in hadoop 3.2.3 for consistency ------------------ This is not a release off branch-3.3, it is a fork of 3.3.2 with the changes. The next release of branch-3.3 will be numbered hadoop-3.3.4; updating maven versions and JIRA fix versions is part of this release process. To get these fixes out fast and avoid any regressions, *I'm not putting anything else in other than the fixes which shipped in 3.2.4* For all non-CVE related fixes, consult this process: https://scarfolk.blogspot.com/2015/08/no-1973-1975.html I will try and do some ARM binaries too, but I'm not going to make a commitment. My laptop is now an ARM CPU, so in fact cutting this release involves me actually building it on a different machine; my previous laptop, or, if that doesn't work out, some remote server. as usual, any help testing would be wonderful. After this, I would like to start planning that 3.3.4 feature release. I think I will nominate myself as the release engineer there, with help from colleagues, especially Mehakmeet and Mukund. -Steve",not-ak,HADOOP-18198. Release Hadoop 3.3.3: hadoop-3.3.2 with CVE fixes
7,"Re: Adding a security role to grant/revoke with no access to the data itself Hi All, thanks for the input and ideas. If I am reading these correctly, it seems to me 17501 is a first step in the direction we want that we should also be able to extend easily. So unless sbdy objects and I didn't miss anything I would like to start working on it early next week :-) Regards ",not-ak,Re: Adding a security role to grant/revoke with no access to the data itself
8,"Re: Adding a security role to grant/revoke with no access to the data itself Hi all, As extension to the N-man? rule, I would like to propose a self-evolving policy-based approval mechanism. Policies I am defining the following policies for illustration purpose. In practical implementation, we can implement more complex policies. Super User Add Policy: The number of approvals required to add another super user Super User Remove Policy: The number of approvals required to remove an existing super user User Role Assignment Policy: The number of approvals required to add a role assignment to the user User Role Removal Policy: The number of approvals required to remove a role assignment from the user Bootstrapping When the administrator boots up Cassandra, he defines the set of super users and super user approval policies. In case of a development instance, the instance will be self-managed and there will be only one super user. The policy for such instances can be like the following: superUsers: [A] policies: superUserAddPolicy: 1 superUserRemovePolicy: 2 userRoleAssignmentPolicy: 1 userRoleRemovelPolicy: 1 In case of a production instances, the policies should be strong enough to prevent ad-hoc operations. Also, some good set of super users should be aware of the changes. The policy will be something similar to the following: superUsers: [A,B,C,D,E] policies: superUserAddPolicy: ALL superUserRemovePolicy: ALL-1 userRoleAssignmentPolicy: MAJORITY userRoleRemovelPolicy: ONE The above policy mean the following: To add another super user (let's say F), we need approval of all the existing super usersTo remove an existing super user (let's say E), we need approval of all existing super users except oneTo add a role assignment to an user, majority of the super users should approveTo remove a role assignment from an user, approval of only one super user is good enough Let's assume we have user X and he requires database_reader role. This new role assignment has to be proposed by one of the super users; let's assume A proposes the new role assignment. Since he proposes, he implicitly approves the same. According to the policy, we need two more approvals to reach majority. If two more super users (say C & E) approve the user role assignment, the role assignment becomes effective. This shows the flexibility of policy-based approval flow. Evolvability Let's assume that for any change in policies, we need approval of all super users. The dev instance where the user A is the only super user needs to be upgraded to a prod instance. This means, we have to evolve our policies to that of the prod instance. The initial policy can be like this: superUsers: [A] policies: superUserAddPolicy: 1</",not-ak,Re: Adding a security role to grant/revoke with no access to the data itself
9,Re: Adding a security role to grant/revoke with no access to the data itself I think both ideas are worth the discussion. I�ve opened CASSANDRA-17502 to summarise the idea of the-man rule.,not-ak,Re: Adding a security role to grant/revoke with no access to the data itself
10,"Re: Adding a security role to grant/revoke with no access to the data itself Hi, I also think these are all valuable ideas. But iiuc I think there's nothing in 17501 incompatible to them. Also it seems to me like a sensible self-contained first step improvement in the right direction. Regards ",not-ak,Re: Adding a security role to grant/revoke with no access to the data itself
11,Re: Adding a security role to grant/revoke with no access to the data itself I think these are very interesting ideas for another new feature. Would one of you like to write it up as a JIRA and start a new thread to discuss details? I think it would be good to keep this thread about the simpler proposal from CASSANDRA-17501 unless you all are against implementing that without the new abilities you are proposing? This �requires N grants� idea seems to me to be orthogonal to the original ticket.,not-ak,Re: Adding a security role to grant/revoke with no access to the data itself
12,"Re: Adding a security role to grant/revoke with no access to the data itself btw there is also an opposite problem, you HAVE TO have two guys (out of two) to grant access. What if one of them is not available because he went on holiday? So it might be wise to say ""if three out of five admins grants access that is enough"", how would you implement it? ",not-ak,Re: Adding a security role to grant/revoke with no access to the data itself
13,"Re: Adding a security role to grant/revoke with no access to the data itself Why not N guys instead of two? Where does this stop? ""2"" seems to be an arbitrary number. This starts to remind me of Shamir's shared secrets. https://en.wikipedia.org/wiki/Shamir%27s_Secret_Sharing ",not-ak,Re: Adding a security role to grant/revoke with no access to the data itself
14,"Re: Adding a security role to grant/revoke with no access to the data itself � TWO_MAN_RULE could probably be poor naming and a boolean option not flexible enough, let�s change that to an integer option like GRANTORS defaulting 1 and could be any higher defining the number of grantors needed for the role to become active.On 30. Mar 2022, at 16:11, Tibor R�p�si <tibor.repasi@anzix.org> wrote:Having two-man rules in place for authorizing access to highly sensitive data is not uncommon. I think about something like:As superuser:CREATE KEYSPACE patientdata �;CREATE ROLE patientdata_access WITH TWO_MAN_RULE=true;GRANT SELECT, MODIFY ON patientdata TO patientdata_access;CREATE ROLE security_admin;GRANT AUTHORIZE patientdata_access TO security_admin;GRANT security_admin TO admin_guy1;GRANT security_admin TO admin_guy2;As admin_guy1:GRANT patientdata_access TO doctor_house;at this point doctor_house doesn�t have access to patientdata, it needs admin_guy2 to:GRANT patientdata_access TO doctor_house;On 30. Mar 2022, at 15:13, Benjamin Lerer <blerer@apache.org> wrote: What would prevent the security_admin from self-authorizing himself?It is a valid point. :-) The idea is to have some mechanisms in place to prevent that kind of behavior.Of course people might still be able to collaborate to get access to some data but a single person should not be able to do that all by himself. Le mer. 30 mars 2022 � 14:52, Tibor R�p�si <tibor.repasi@anzix.org> a �crit :I like the idea of separation of duties. But, wouldn�t be a security_admin role not just a select and modify permission on system_auth? What would prevent the security_admin from self-authorizing himself?Would it be possible to add some sort of two-man rule?On 30. Mar 2022, at 10:44, Berenguer Blasi <berenguerblasi@gmail.com> wrote: Hi all, I would like to propose to add support for a sort of a security role that can grant/revoke permissions to a user to a resource (KS, table,...) but _not_ access the data in that resource itself. Data may be sensitive, have legal constrains, etc but this separation of duties should enable that. Think of a hospital where IT can grant/revoke permissions to doctors but IT should _not_ have access to the data itself. I have created https://issues.apache.org/jira/browse/CASSANDRA-17501 with more details. If anybody has any concerns or questions with this functionality I will be happy to discuss them. Thx in advance.",not-ak,Re: Adding a security role to grant/revoke with no access to the data itself
